t,left_ankle_joint
11.392500,0.416415328
11.395000,0.415010538
11.397500,0.413855587
11.400000,0.412649156
11.402500,0.411466415
11.405000,0.410317761
11.407500,0.409205788
11.410000,0.408132119
11.412500,0.407098238
11.415000,0.406105581
11.417500,0.405155548
11.420000,0.404249500
11.422500,0.403388754
11.425000,0.402574580
11.427500,0.401808200
11.430000,0.401090778
11.432500,0.400423420
11.435000,0.399807173
11.437500,0.399243017
11.440000,0.398731862
11.442500,0.398274549
11.445000,0.397871843
11.447500,0.397631976
11.450000,0.397386818
11.452500,0.397175565
11.455000,0.397012143
11.457500,0.396901626
11.460000,0.396901626
11.462500,0.396901626
11.465000,0.396966065
11.467500,0.397079884
11.470000,0.397247411
11.472500,0.397469942
11.475000,0.397747715
11.477500,0.398080564
11.480000,0.398468128
11.482500,0.398909931
11.485000,0.399561425
11.487500,0.399993028
11.490000,0.400734232
11.492500,0.401406035
11.495000,0.402115743
11.497500,0.402875370
11.500000,0.403685440
11.502500,0.404545023
11.505000,0.405452957
11.507500,0.406408002
11.510000,0.407408865
11.512500,0.408454202
11.515000,0.409542626
11.517500,0.410672708
11.520000,0.411842982
11.522500,0.413051947
11.525000,0.414298075
11.527500,0.415579809
11.530000,0.416895573
11.532500,0.418243770
11.535000,0.419622789
11.537500,0.421031006
11.540000,0.422466791
11.542500,0.423928507
11.545000,0.425414517
11.547500,0.426923183
11.550000,0.428452872
11.552500,0.430001959
11.555000,0.431568828
11.557500,0.433151872
11.560000,0.434749502
11.562500,0.436360144
11.565000,0.437982242
11.567500,0.439614259
11.570000,0.441254684
11.572500,0.442902026
11.575000,0.444554820
11.577500,0.446211628
11.580000,0.447871040
11.582500,0.449531674
11.585000,0.451192178
11.587500,0.453013282
11.590000,0.454555166
11.592500,0.456353446
11.595000,0.458035470
11.597500,0.459705508
11.600000,0.461366164
11.602500,0.463016476
11.605000,0.464655389
11.607500,0.466281878
11.610000,0.467894952
11.612500,0.469493657
11.615000,0.471077075
11.617500,0.472644320
11.620000,0.474194545
11.622500,0.475726937
11.625000,0.477240717
11.627500,0.478735139
11.630000,0.480209496
11.632500,0.481663108
11.635000,0.483095334
11.637500,0.484505564
11.640000,0.485893219
11.642500,0.487257754
11.645000,0.488598654
11.647500,0.489915438
11.650000,0.491207652
11.652500,0.492474874
11.655000,0.493716713
11.657500,0.494932804
11.660000,0.496122815
11.662500,0.497286439
11.665000,0.498423399
11.667500,0.499549718
11.670000,0.500814089
11.672500,0.502217652
11.675000,0.503740242
11.677500,0.505369010
11.680000,0.507094360
11.682500,0.508908330
11.685000,0.510803906
11.687500,0.512774675
11.690000,0.514814639
11.692500,0.516918102
11.695000,0.519079594
11.697500,0.521293833
11.700000,0.523555696
11.702500,0.525860199
11.705000,0.528202493
11.707500,0.530577853
11.710000,0.532981676
11.712500,0.535409484
11.715000,0.537856923
11.717500,0.540319765
11.720000,0.542793908
11.722500,0.545275383
11.725000,0.547760350
11.727500,0.550245107
11.730000,0.552726084
11.732500,0.555199851
11.735000,0.557663114
11.737500,0.560112718
11.740000,0.562545645
11.742500,0.564959015
11.745000,0.567350085
11.747500,0.569716247
11.750000,0.572055027
11.752500,0.574364082
11.755000,0.576641197
11.757500,0.578884286
11.760000,0.581091385
11.762500,0.583260649
11.765000,0.585390355
11.767500,0.587478887
11.770000,0.589524746
11.772500,0.591526533
11.775000,0.593482957
11.777500,0.595392822
11.780000,0.597255029
11.782500,0.599068570
11.785000,0.599563063
11.787500,0.599609269
11.790000,0.599631318
11.792500,0.599650452
11.795000,0.599668352
11.797500,0.599685165
11.800000,0.599700922
11.802500,0.599715640
11.805000,0.599729337
11.807500,0.599742031
11.810000,0.599753735
11.812500,0.599764467
11.815000,0.599774238
11.817500,0.599783064
11.820000,0.599790956
11.822500,0.599797926
11.825000,0.599803985
11.827500,0.599809143
11.830000,0.599813410
11.832500,0.599816794
11.835000,0.599819304
11.837500,0.599820947
11.840000,0.599821729
11.842500,0.599821657
11.845000,0.599820735
11.847500,0.599818969
11.850000,0.599816363
11.852500,0.599812919
11.855000,0.599808641
11.857500,0.599803531
11.860000,0.599462757
11.862500,0.599454056
11.865000,0.600000000
11.867500,0.599868178
11.870000,0.599441816
11.872500,0.599831148
11.875000,0.600000000
11.877500,0.600000000
11.880000,0.600000000
11.882500,0.599335042
11.885000,0.599469449
11.887500,0.599540591
11.890000,0.599551591
11.892500,0.599503564
11.895000,0.599397042
11.897500,0.599232399
11.900000,0.599143933
11.902500,0.598965816
11.905000,0.598759443
11.907500,0.598601335
11.910000,0.598388484
11.912500,0.598112627
11.915000,0.597773715
11.917500,0.597372416
11.920000,0.596909465
11.922500,0.596385606
11.925000,0.595801590
11.927500,0.595158176
11.930000,0.594456128
11.932500,0.593696220
11.935000,0.592879235
11.937500,0.592005966
11.940000,0.591077219
11.942500,0.590093816
11.945000,0.589056590
11.947500,0.587966393
11.950000,0.586824096
11.952500,0.585630589
11.955000,0.584386786
11.957500,0.583093625
11.960000,0.581752071
11.962500,0.580363118
11.965000,0.578927793
11.967500,0.577447154
11.970000,0.575922302
11.972500,0.574354372
11.975000,0.572744548
11.977500,0.571094057
11.980000,0.569404176
11.982500,0.567676238
11.985000,0.565911628
11.987500,0.564111798
11.990000,0.562278258
11.992500,0.560452705
11.995000,0.558698916
11.997500,0.556813157
12.000000,0.555037716
12.002500,0.553232087
12.005000,0.551394317
12.007500,0.549526629
12.010000,0.547631455
12.012500,0.545711318
12.015000,0.543768841
12.017500,0.541806748
12.020000,0.539827866
12.022500,0.537835136
12.025000,0.535831612
12.027500,0.533820465
12.030000,0.531804991
12.032500,0.529788613
12.035000,0.527774881
12.037500,0.525767480
12.040000,0.523770233
12.042500,0.521787100
12.045000,0.519822187
12.047500,0.517879748
12.050000,0.515964193
12.052500,0.514080090
12.055000,0.512232182
12.057500,0.510425398
12.060000,0.508664873
12.062500,0.506955981
12.065000,0.505304379
12.067500,0.503716079
12.070000,0.502197554
12.072500,0.500755929
12.075000,0.499399300
12.077500,0.498137373
12.080000,0.496982952
12.082500,0.495957025
12.085000,0.495065053
12.087500,0.494161055
12.090000,0.493224426
12.092500,0.492255102
12.095000,0.491253752
12.097500,0.490221072
12.100000,0.489157767
12.102500,0.488064549
12.105000,0.486942139
12.107500,0.485791264
12.110000,0.484612662
12.112500,0.483407081
12.115000,0.482175280
12.117500,0.480918028
12.120000,0.479636108
12.122500,0.478330315
12.125000,0.477001459
12.127500,0.475650364
12.130000,0.474277870
12.132500,0.472884833
12.135000,0.471472126
12.137500,0.470040640
12.140000,0.468591286
12.142500,0.467124992
12.145000,0.465642710
12.147500,0.464145410
12.150000,0.462634087
12.152500,0.461109755
12.155000,0.459573455
12.157500,0.458026250
12.160000,0.456469229
12.162500,0.454903506
12.165000,0.453330219
12.167500,0.451750536
12.170000,0.450165649
12.172500,0.448576777
12.175000,0.446985169
12.177500,0.445392098
12.180000,0.443798868
12.182500,0.442206806
12.185000,0.440617271
12.187500,0.439031645
12.190000,0.437451339
12.192500,0.435877789
12.195000,0.434312456
12.197500,0.432756824
12.200000,0.431212404
12.202500,0.429680723
12.205000,0.428163334
12.207500,0.426661805
12.210000,0.425177724
12.212500,0.423712690
12.215000,0.422268319
12.217500,0.420846236
12.220000,0.419448073
12.222500,0.418075468
12.225000,0.416730062
12.227500,0.415540955
12.230000,0.414158105
12.232500,0.413023484
12.235000,0.411839828
12.237500,0.410681027
12.240000,0.409557321
12.242500,0.408471276
12.245000,0.407424496
