t,right_ankle_joint
1.245000,0.496906586
1.247500,0.498052245
1.250000,0.499171079
1.252500,0.500380386
1.255000,0.501740044
1.257500,0.503224448
1.260000,0.504818831
1.262500,0.506512772
1.265000,0.508297865
1.267500,0.510166828
1.270000,0.512113077
1.272500,0.514130489
1.275000,0.516213277
1.277500,0.518355899
1.280000,0.520553017
1.282500,0.522799455
1.285000,0.525090184
1.287500,0.527420312
1.290000,0.529785070
1.292500,0.532179817
1.295000,0.534600032
1.297500,0.537041319
1.300000,0.539499407
1.302500,0.541970154
1.305000,0.544449543
1.307500,0.546933693
1.310000,0.549418855
1.312500,0.551901415
1.315000,0.554377896
1.317500,0.556844957
1.320000,0.559299398
1.322500,0.561738155
1.325000,0.564158302
1.327500,0.566557051
1.330000,0.568931748
1.332500,0.571279875
1.335000,0.573599044
1.337500,0.575887000
1.340000,0.578141613
1.342500,0.580360879
1.345000,0.582542913
1.347500,0.584685952
1.350000,0.586788345
1.352500,0.588848554
1.355000,0.590865147
1.357500,0.592836797
1.360000,0.594762278
1.362500,0.596640457
1.365000,0.598470297
1.367500,0.599301868
1.370000,0.599595510
1.372500,0.599624216
1.375000,0.599644207
1.377500,0.599662507
1.380000,0.599679679
1.382500,0.599695786
1.385000,0.599710848
1.387500,0.599724884
1.390000,0.599737910
1.392500,0.599749943
1.395000,0.599760997
1.397500,0.599771087
1.400000,0.599780226
1.402500,0.599788428
1.405000,0.599795704
1.407500,0.599802066
1.410000,0.599807523
1.412500,0.599812086
1.415000,0.599815764
1.417500,0.599818564
1.420000,0.599820495
1.422500,0.599821564
1.425000,0.599821775
1.427500,0.599821137
1.430000,0.599819652
1.432500,0.599817325
1.435000,0.599814160
1.437500,0.599810160
1.440000,0.599805327
1.442500,0.599464621
1.445000,0.599456175
1.447500,0.600000000
1.450000,0.599879516
1.452500,0.599444442
1.455000,0.599848107
1.457500,0.600000000
1.460000,0.600000000
1.462500,0.600000000
1.465000,0.599359335
1.467500,0.599520001
1.470000,0.599611917
1.472500,0.599642030
1.475000,0.599612569
1.477500,0.599524387
1.480000,0.599377950
1.482500,0.599312626
1.485000,0.599148660
1.487500,0.598963637
1.490000,0.598823103
1.492500,0.598627362
1.495000,0.598368443
1.497500,0.598046320
1.500000,0.597661658
1.502500,0.597215190
1.505000,0.596707657
1.507500,0.596139807
1.510000,0.595512392
1.512500,0.594826174
1.515000,0.594081922
1.517500,0.593280412
1.520000,0.592422435
1.522500,0.591508789
1.525000,0.590540290
1.527500,0.589517764
1.530000,0.588442056
1.532500,0.587314029
1.535000,0.586134565
1.537500,0.584904569
1.540000,0.583624968
1.542500,0.582296716
1.545000,0.580920798
1.547500,0.579498226
1.550000,0.578030047
1.552500,0.576517347
1.555000,0.574961247
1.557500,0.573362914
1.560000,0.571723558
1.562500,0.570044438
1.565000,0.568326867
1.567500,0.566572212
1.570000,0.564781900
1.572500,0.562957421
1.575000,0.561140854
1.577500,0.559394404
1.580000,0.557516539
1.582500,0.555747809
1.585000,0.553948339
1.587500,0.552116171
1.590000,0.550253492
1.592500,0.548362697
1.595000,0.546446275
1.597500,0.544506806
1.600000,0.542546974
1.602500,0.540569565
1.605000,0.538577476
1.607500,0.536573715
1.610000,0.534561410
1.612500,0.532543809
1.615000,0.530524285
1.617500,0.528506343
1.620000,0.526493616
1.622500,0.524489876
1.625000,0.522499032
1.627500,0.520525137
1.630000,0.518572391
1.632500,0.516645146
1.635000,0.514747913
1.637500,0.512885371
1.640000,0.511062382
1.642500,0.509284005
1.645000,0.507555526
1.647500,0.505882500
1.650000,0.504270804
1.652500,0.502726742
1.655000,0.501257190
1.657500,0.499869867
1.660000,0.498573837
1.662500,0.497380596
1.665000,0.496307220
1.667500,0.495383598
1.670000,0.494488332
1.672500,0.493561683
1.675000,0.492602205
1.677500,0.491610513
1.680000,0.490587299
1.682500,0.489533264
1.685000,0.488449116
1.687500,0.487335569
1.690000,0.486193349
1.692500,0.485023189
1.695000,0.483825831
1.697500,0.482602028
1.700000,0.481352546
1.702500,0.480078162
1.705000,0.478779665
1.707500,0.477457859
1.710000,0.476113563
1.712500,0.474747609
1.715000,0.473360847
1.717500,0.471954143
1.720000,0.470528382
1.722500,0.469084467
1.725000,0.467623320
1.727500,0.466145883
1.730000,0.464653120
1.732500,0.463146016
1.735000,0.461625579
1.737500,0.460092839
1.740000,0.458548851
1.742500,0.456994696
1.745000,0.455431477
1.747500,0.453860326
1.750000,0.452282398
1.752500,0.450698877
1.755000,0.449110973
1.757500,0.447519925
1.760000,0.445926996
1.762500,0.444333480
1.765000,0.442740696
1.767500,0.441149991
1.770000,0.439562741
1.772500,0.437980346
1.775000,0.436404233
1.777500,0.434835854
1.780000,0.433276687
1.782500,0.431728231
1.785000,0.430192010
1.787500,0.428669567
1.790000,0.427162466
1.792500,0.425672286
1.795000,0.424200625
1.797500,0.422749092
1.800000,0.421319308
1.802500,0.419912905
1.805000,0.418531517
1.807500,0.417176786
1.810000,0.415978337
1.812500,0.414584322
1.815000,0.413439393
1.817500,0.412244203
1.820000,0.411073289
1.822500,0.409936968
1.825000,0.408837821
1.827500,0.407777464
1.830000,0.406757368
1.832500,0.405778959
1.835000,0.404843626
1.837500,0.403952714
1.840000,0.403107527
1.842500,0.402309318
1.845000,0.401559291
1.847500,0.400858591
1.850000,0.400208306
1.852500,0.399609460
1.855000,0.399063011
1.857500,0.398569846
1.860000,0.398130782
1.862500,0.397746557
1.865000,0.397520403
1.867500,0.397292112
1.870000,0.397098910
1.872500,0.396954020
1.875000,0.396954020
1.877500,0.396954020
1.880000,0.396954020
1.882500,0.397024386
1.885000,0.397152148
1.887500,0.397336397
1.890000,0.397576573
1.892500,0.397872246
1.895000,0.398222995
1.897500,0.398628355
1.900000,0.399230509
1.902500,0.399634323
1.905000,0.400331105
1.907500,0.400966194
1.910000,0.401640658
1.912500,0.402365816
1.915000,0.403142150
1.917500,0.403968758
1.920000,0.404844517
1.922500,0.405768224
1.925000,0.406738620
1.927500,0.407754394
1.930000,0.408814187
1.932500,0.409916597
1.935000,0.411060182
1.937500,0.412243464
1.940000,0.413464934
1.942500,0.414723052
1.945000,0.416016256
1.947500,0.417342960
1.950000,0.418701564
1.952500,0.420090451
1.955000,0.421507995
1.957500,0.422952563
1.960000,0.424422518
1.962500,0.425916222
1.965000,0.427432039
1.967500,0.428968338
1.970000,0.430523495
1.972500,0.432095899
1.975000,0.433683948
1.977500,0.435286057
1.980000,0.436900659
1.982500,0.438526202
1.985000,0.440161160
1.987500,0.441804027
1.990000,0.443453320
1.992500,0.445107584
1.995000,0.446765390
1.997500,0.448425337
2.000000,0.450086053
2.002500,0.451908575
2.005000,0.453452122
2.007500,0.455253647
2.010000,0.456789190
2.012500,0.458577644
2.015000,0.460249053
2.017500,0.461907004
2.020000,0.463554099
2.022500,0.465189423
2.025000,0.466811968
2.027500,0.468420758
2.030000,0.470014850
2.032500,0.471593338
2.035000,0.473155352
2.037500,0.474700054
2.040000,0.476226645
2.042500,0.477734357
2.045000,0.479222459
2.047500,0.480690251
2.050000,0.482137070
2.052500,0.483562284
2.055000,0.484965294
2.057500,0.486345533
2.060000,0.487702467
2.062500,0.489035592
2.065000,0.490344437
2.067500,0.491628559
2.070000,0.492887548
2.072500,0.494121020
2.075000,0.495328624
2.077500,0.496510034
2.080000,0.497664954
2.082500,0.498793118
2.085000,0.499950941
2.087500,0.501264663
2.090000,0.502709784
2.092500,0.504269104
2.095000,0.505931147
2.097500,0.507686975
2.100000,0.509528996
2.102500,0.511450425
2.105000,0.513445004
2.107500,0.515506847
2.110000,0.517630336
2.112500,0.519810072
2.115000,0.522040826
2.117500,0.524317525
2.120000,0.526635230
2.122500,0.528989134
2.125000,0.531374552
2.127500,0.533786925
2.130000,0.536221814
2.132500,0.538674909
2.135000,0.541142022
2.137500,0.543619097
2.140000,0.546102206
2.142500,0.548587557
2.145000,0.551071490
2.147500,0.553550484
2.150000,0.556021151
2.152500,0.558480246
2.155000,0.560924659
2.157500,0.563351418
2.160000,0.565757689
2.162500,0.568140775
2.165000,0.570498112
2.167500,0.572827270
2.170000,0.575125949
2.172500,0.577391978
2.175000,0.579623311
2.177500,0.581818025
2.180000,0.583974316
2.182500,0.586090497
2.185000,0.588164991
2.187500,0.590196333
2.190000,0.592183161
2.192500,0.594124215
2.195000,0.596018333
2.197500,0.597864446
2.200000,0.599661575
2.202500,0.599598311
2.205000,0.599618281
2.207500,0.599637938
2.210000,0.599656549
2.212500,0.599674076
2.215000,0.599690534
2.217500,0.599705942
2.220000,0.599720318
2.222500,0.599733679
2.225000,0.599746041
2.227500,0.599757420
2.230000,0.599767830
2.232500,0.599777285
2.235000,0.599785798
2.237500,0.599793381
2.240000,0.599800046
2.242500,0.599805804
2.245000,0.599810664
2.247500,0.599814636
2.250000,0.599817728
2.252500,0.599819948
2.255000,0.599821303
2.257500,0.599821800
2.260000,0.599821444
2.262500,0.599820240
2.265000,0.599818194
2.267500,0.599815308
2.270000,0.599811586
2.272500,0.599807030
2.275000,0.599801643
2.277500,0.599460861
2.280000,0.599451905
2.282500,0.600000000
2.285000,0.599856749
2.287500,0.600000000
2.290000,0.599463485
2.292500,0.599811896
2.295000,0.599811896
2.297500,0.599811896
2.300000,0.599904884
2.302500,0.599987349
2.305000,0.600000000
2.307500,0.599254513
2.310000,0.599209249
2.312500,0.599092283
2.315000,0.599063329
2.317500,0.598919189
2.320000,0.598766336
2.322500,0.598653837
2.325000,0.598485425
2.327500,0.598253431
2.330000,0.597957857
2.332500,0.597599373
2.335000,0.597178712
2.337500,0.596696618
2.340000,0.596153837
2.342500,0.595551123
2.345000,0.594889237
2.347500,0.594168947
2.350000,0.593391030
2.352500,0.592556273
2.355000,0.591665475
2.357500,0.590719447
2.360000,0.589719013
2.362500,0.588665015
2.365000,0.587558311
2.367500,0.586399778
2.370000,0.585190315
2.372500,0.583930844
2.375000,0.582622311
2.377500,0.581265693
2.380000,0.579861992
2.382500,0.578412249
2.385000,0.576917534
2.387500,0.575378960
2.390000,0.573797680
2.392500,0.572174890
2.395000,0.570511834
2.397500,0.568809809
2.400000,0.567070164
2.402500,0.565294307
2.405000,0.563483708
2.407500,0.561682836
2.410000,0.559948214
2.412500,0.558084538
2.415000,0.556290986
2.417500,0.554357884
2.420000,0.552540590
2.422500,0.550696106
2.425000,0.548822487
2.427500,0.546922072
2.430000,0.544997418
2.432500,0.543051187
2.435000,0.541086140
2.437500,0.539105148
2.440000,0.537111193
2.442500,0.535107371
2.445000,0.533096901
2.447500,0.531083123
2.450000,0.529069506
2.452500,0.527059650
2.455000,0.525057288
2.457500,0.523066292
2.460000,0.521090674
2.462500,0.519134593
2.465000,0.517202356
2.467500,0.515298429
2.470000,0.513427440
2.472500,0.511594194
2.475000,0.509803690
2.477500,0.508061142
2.480000,0.506372013
2.482500,0.504742073
2.485000,0.503177474
2.487500,0.501684885
