t,right_knee_joint
0.962500,-0.817233781
0.965000,-0.815608587
0.967500,-0.814037752
0.970000,-0.812524323
0.972500,-0.811071453
0.975000,-0.809682422
0.977500,-0.808360666
0.980000,-0.807109822
0.982500,-0.805933787
0.985000,-0.804836801
0.987500,-0.803823584
0.990000,-0.802899544
0.992500,-0.802071157
0.995000,-0.801346717
0.997500,-0.800738215
1.000000,-0.800269983
1.002500,-0.799896723
1.005000,-0.799514847
1.007500,-0.799116020
1.010000,-0.798699454
1.012500,-0.798264974
1.015000,-0.797812468
1.017500,-0.797341844
1.020000,-0.796853026
1.022500,-0.796345957
1.025000,-0.795820595
1.027500,-0.795276918
1.030000,-0.794714918
1.032500,-0.794134609
1.035000,-0.793536022
1.037500,-0.792919205
1.040000,-0.792284226
1.042500,-0.791631171
1.045000,-0.790960147
1.047500,-0.790271276
1.050000,-0.789564704
1.052500,-0.788840594
1.055000,-0.788099127
1.057500,-0.787340508
1.060000,-0.786564957
1.062500,-0.785772717
1.065000,-0.784964049
1.067500,-0.784139234
1.070000,-0.783298574
1.072500,-0.782442390
1.075000,-0.781571022
1.077500,-0.780684831
1.080000,-0.779784197
1.082500,-0.778869519
1.085000,-0.777941217
1.087500,-0.776999730
1.090000,-0.776045513
1.092500,-0.775079045
1.095000,-0.774100821
1.097500,-0.773111354
1.100000,-0.772111177
1.102500,-0.771100840
1.105000,-0.770080912
1.107500,-0.769051977
1.110000,-0.768014640
1.112500,-0.766969520
1.115000,-0.765917252
1.117500,-0.764858490
1.120000,-0.763793901
1.122500,-0.762724169
1.125000,-0.761649990
1.127500,-0.760572078
1.130000,-0.759491158
1.132500,-0.758407970
1.135000,-0.757323264
1.137500,-0.756237805
1.140000,-0.755152368
1.142500,-0.754067739
1.145000,-0.752984714
1.147500,-0.751904098
1.150000,-0.750826706
1.152500,-0.749753361
1.155000,-0.748684892
1.157500,-0.747622135
1.160000,-0.746565933
1.162500,-0.745517131
1.165000,-0.744476582
1.167500,-0.743445139
1.170000,-0.742423659
1.172500,-0.741413000
1.175000,-0.740414021
1.177500,-0.739427580
1.180000,-0.738454533
1.182500,-0.737495736
1.185000,-0.736552041
1.187500,-0.735624293
1.190000,-0.734713337
1.192500,-0.733820007
1.195000,-0.733051034
1.197500,-0.732096648
1.200000,-0.731354355
1.202500,-0.730553776
1.205000,-0.729758798
1.207500,-0.728983001
1.210000,-0.728229715
1.212500,-0.727500203
1.215000,-0.726795304
1.217500,-0.726115763
1.220000,-0.725462290
1.222500,-0.724835574
1.225000,-0.724236286
1.227500,-0.723665075
1.230000,-0.723122570
1.232500,-0.722609376
1.235000,-0.722126079
1.237500,-0.721673237
1.240000,-0.721251386
1.242500,-0.720861034
1.245000,-0.720502666
1.247500,-0.720276728
1.250000,-0.719901079
1.252500,-0.719709231
1.255000,-0.719501346
1.257500,-0.719304986
1.260000,-0.719132785
1.262500,-0.718990587
1.265000,-0.718881151
1.267500,-0.718881151
1.270000,-0.718881151
1.272500,-0.718881151
1.275000,-0.718881151
1.277500,-0.718881151
1.280000,-0.718881151
1.282500,-0.719049101
1.285000,-0.719236184
1.287500,-0.719451316
1.290000,-0.719698569
1.292500,-0.719979739
1.295000,-0.720438672
1.297500,-0.720711629
1.300000,-0.721220902
1.302500,-0.721683007
1.305000,-0.722162875
1.307500,-0.722673251
1.310000,-0.723216356
1.312500,-0.723792296
1.315000,-0.724400733
1.317500,-0.725041214
1.320000,-0.725713240
1.322500,-0.726416276
1.325000,-0.727149756
1.327500,-0.727913081
1.330000,-0.728705623
1.332500,-0.729526726
1.335000,-0.730375703
1.337500,-0.731251840
1.340000,-0.732154394
1.342500,-0.733210405
1.345000,-0.734060529
1.347500,-0.735148860
1.350000,-0.736161368
1.352500,-0.737187305
1.355000,-0.738233695
1.357500,-0.739300313
1.360000,-0.740386293
1.362500,-0.741490697
1.365000,-0.742612564
1.367500,-0.743750913
1.370000,-0.744904752
1.372500,-0.746073068
1.375000,-0.747254839
1.377500,-0.748449027
1.380000,-0.749654582
1.382500,-0.750870445
1.385000,-0.752095545
1.387500,-0.753328805
1.390000,-0.754569136
1.392500,-0.755815446
1.395000,-0.757066636
1.397500,-0.758321604
1.400000,-0.759579242
1.402500,-0.760838441
1.405000,-0.762098091
1.407500,-0.763357081
1.410000,-0.764614301
1.412500,-0.765868644
1.415000,-0.767119003
1.417500,-0.768364278
1.420000,-0.769603372
1.422500,-0.770835194
1.425000,-0.772058660
1.427500,-0.773272695
1.430000,-0.774476230
1.432500,-0.775668209
1.435000,-0.776847584
1.437500,-0.778013320
1.440000,-0.779164394
1.442500,-0.780299797
1.445000,-0.781418533
1.447500,-0.782519622
1.450000,-0.783602100
1.452500,-0.784665020
1.455000,-0.785707451
1.457500,-0.786728483
1.460000,-0.787727223
1.462500,-0.788702799
1.465000,-0.789654360
1.467500,-0.790581075
1.470000,-0.791482137
1.472500,-0.792356761
1.475000,-0.793204185
1.477500,-0.794023672
1.480000,-0.794814510
1.482500,-0.795576011
1.485000,-0.796307516
1.487500,-0.797008389
1.490000,-0.797678024
1.492500,-0.798315843
1.495000,-0.798921293
1.497500,-0.799493854
1.500000,-0.800033033
1.502500,-0.800688788
1.505000,-0.801545543
1.507500,-0.802576474
1.510000,-0.803763786
1.512500,-0.805095577
1.515000,-0.806640351
1.517500,-0.808164230
1.520000,-0.809965157
1.522500,-0.811716254
1.525000,-0.813755254
1.527500,-0.815714478
1.530000,-0.817971836
1.532500,-0.820122300
1.535000,-0.822580277
1.537500,-0.825025224
1.540000,-0.827552647
1.542500,-0.830162315
1.545000,-0.832850652
1.547500,-0.835614019
1.550000,-0.838448817
1.552500,-0.841351486
1.555000,-0.844318505
1.557500,-0.847346383
1.560000,-0.850431661
1.562500,-0.853570908
1.565000,-0.856760720
1.567500,-0.859997721
1.570000,-0.863278565
1.572500,-0.866599929
1.575000,-0.869958522
1.577500,-0.873351081
1.580000,-0.876774373
1.582500,-0.880225193
1.585000,-0.883700372
1.587500,-0.887196771
1.590000,-0.890711286
1.592500,-0.894240847
1.595000,-0.897782422
1.597500,-0.901333014
1.600000,-0.904889667
1.602500,-0.908449462
1.605000,-0.912009521
1.607500,-0.915567008
1.610000,-0.919119130
1.612500,-0.922663136
1.615000,-0.926196318
1.617500,-0.929716017
1.620000,-0.933219615
1.622500,-0.936704542
1.625000,-0.940002930
1.627500,-0.943595488
1.630000,-0.946851291
1.632500,-0.950387440
1.635000,-0.953586774
1.637500,-0.956890521
1.640000,-0.960169571
1.642500,-0.963412102
1.645000,-0.966615254
1.647500,-0.969776895
1.650000,-0.972894991
1.652500,-0.975967564
1.655000,-0.978992685
1.657500,-0.981968478
1.660000,-0.984893115
1.662500,-0.988055443
1.665000,-0.990960350
1.667500,-0.993958452
1.670000,-0.996910249
1.672500,-0.999795849
1.675000,-1.002611455
1.677500,-1.005355399
1.680000,-1.008026329
1.682500,-1.010622972
1.685000,-1.013144110
1.687500,-1.015588570
1.690000,-1.017955228
1.692500,-1.020243003
1.695000,-1.022450862
1.697500,-1.024577815
1.700000,-1.026622915
1.702500,-1.028585260
1.705000,-1.030463989
1.707500,-1.032258283
1.710000,-1.033967365
1.712500,-1.035590499
1.715000,-1.037126989
1.717500,-1.038576176
1.720000,-1.039937445
1.722500,-1.041210216
1.725000,-1.042393948
1.727500,-1.043488138
1.730000,-1.044492320
1.732500,-1.045308358
1.735000,-1.046034387
1.737500,-1.046829715
1.740000,-1.047502551
1.742500,-1.047997885
1.745000,-1.048519079
1.747500,-1.048915396
1.750000,-1.049146555
1.752500,-1.049336029
1.755000,-1.049416542
1.757500,-1.049416178
1.760000,-1.049423597
1.762500,-1.049423597
1.765000,-1.049423597
1.767500,-1.048912889
1.770000,-1.048912889
1.772500,-1.048109620
1.775000,-1.047393410
1.777500,-1.046664720
1.780000,-1.045530778
1.782500,-1.044858904
1.785000,-1.043621688
1.787500,-1.042490807
1.790000,-1.041311612
1.792500,-1.040056908
1.795000,-1.038722230
1.797500,-1.037307189
1.800000,-1.035812154
1.802500,-1.034237666
1.805000,-1.032584330
1.807500,-1.030852799
1.810000,-1.029043769
1.812500,-1.026895777
1.815000,-1.025123069
1.817500,-1.022843918
1.820000,-1.020676946
1.822500,-1.018451883
1.825000,-1.016156619
1.827500,-1.013791148
1.830000,-1.011356432
1.832500,-1.008853554
1.835000,-1.006283653
1.837500,-1.003647923
1.840000,-1.000947613
1.842500,-0.998184026
1.845000,-0.995358521
1.847500,-0.992472512
1.850000,-0.989527472
1.852500,-0.986524932
1.855000,-0.983466482
1.857500,-0.980353769
1.860000,-0.977188505
1.862500,-0.973972460
1.865000,-0.970707467
1.867500,-0.967395422
1.870000,-0.964038285
1.872500,-0.960638082
1.875000,-0.957196901
1.877500,-0.953716900
1.880000,-0.950200300
1.882500,-0.946649393
1.885000,-0.943066538
1.887500,-0.939454163
1.890000,-0.935814766
1.892500,-0.932150915
1.895000,-0.928465250
1.897500,-0.924760481
1.900000,-0.921039392
1.902500,-0.917304839
1.905000,-0.913559749
1.907500,-0.909807127
1.910000,-0.905841838
1.912500,-0.902253391
1.915000,-0.898303626
1.917500,-0.894524592
1.920000,-0.890761152
1.922500,-0.887011218
1.925000,-0.883278106
1.927500,-0.879565399
1.930000,-0.875876760
1.932500,-0.872215935
1.935000,-0.868586749
1.937500,-0.864993111
1.940000,-0.861439009
1.942500,-0.857928518
1.945000,-0.854465799
1.947500,-0.851055102
1.950000,-0.847700770
1.952500,-0.844407243
1.955000,-0.841179064
1.957500,-0.838020886
1.960000,-0.834937481
1.962500,-0.831933752
1.965000,-0.829014749
1.967500,-0.826185686
1.970000,-0.823451970
1.972500,-0.820819231
1.975000,-0.818293368
1.977500,-0.815880612
1.980000,-0.813587603
1.982500,-0.811421512
1.985000,-0.809390213
1.987500,-0.807502547
1.990000,-0.805768749
1.992500,-0.804201212
1.995000,-0.802816014
1.997500,-0.801636771
2.000000,-0.800712530
2.002500,-0.799945954
2.005000,-0.799124888
2.007500,-0.798242214
2.010000,-0.797297811
2.012500,-0.796291849
2.015000,-0.795224565
2.017500,-0.794096251
2.020000,-0.792907258
2.022500,-0.791657990
2.025000,-0.790348911
