t,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.280000,0.213334987,-0.000019092,-0.000054632,-0.770645814,0.471154786
0.282500,0.213596226,-0.000019037,-0.000054461,-0.770762472,0.471248246
0.285000,0.213886091,-0.000018976,-0.000054272,-0.770895660,0.471353376
0.287500,0.214222036,-0.000018905,-0.000054054,-0.771050120,0.471475666
0.290000,0.214609170,-0.000018823,-0.000053804,-0.771227931,0.471616931
0.292500,0.215049169,-0.000018731,-0.000053521,-0.771429890,0.471777797
0.295000,0.215542713,-0.000018627,-0.000053204,-0.771656240,0.471958492
0.297500,0.216090165,-0.000018513,-0.000052854,-0.771906988,0.472159100
0.300000,0.216691769,-0.000018387,-0.000052470,-0.772182024,0.472379639
0.302500,0.217347700,-0.000018250,-0.000052052,-0.772481169,0.472620091
0.305000,0.218259580,-0.000018053,-0.000051470,-0.772929525,0.472963261
0.307500,0.218881314,-0.000017924,-0.000051073,-0.773196982,0.473186490
0.310000,0.219880015,-0.000017711,-0.000050437,-0.773670048,0.473557622
0.312500,0.220784593,-0.000017519,-0.000049860,-0.774085558,0.473889929
0.315000,0.221731194,-0.000017318,-0.000049257,-0.774512397,0.474235592
0.317500,0.222730985,-0.000017107,-0.000048622,-0.774959623,0.474599878
0.320000,0.223784813,-0.000016883,-0.000047952,-0.775427868,0.474983155
0.322500,0.224892569,-0.000016649,-0.000047250,-0.775916677,0.475385242
0.325000,0.226054011,-0.000016402,-0.000046514,-0.776425428,0.475805877
0.327500,0.227268847,-0.000016144,-0.000045745,-0.776953442,0.476244771
0.330000,0.228536736,-0.000015874,-0.000044942,-0.777499990,0.476701605
0.332500,0.229857294,-0.000015593,-0.000044107,-0.778064301,0.477176038
0.335000,0.231230094,-0.000015300,-0.000043240,-0.778645560,0.477667706
0.337500,0.232654662,-0.000014995,-0.000042340,-0.779242911,0.478176222
0.340000,0.234130483,-0.000014679,-0.000041409,-0.779855454,0.478701175
0.342500,0.235656998,-0.000014352,-0.000040445,-0.780482251,0.479242134
0.345000,0.237233604,-0.000014012,-0.000039450,-0.781122326,0.479798646
0.347500,0.238859658,-0.000013662,-0.000038425,-0.781774663,0.480370237
0.350000,0.240534472,-0.000013300,-0.000037368,-0.782438213,0.480956415
0.352500,0.242257322,-0.000012926,-0.000036282,-0.783111890,0.481556668
0.355000,0.244027438,-0.000012541,-0.000035165,-0.783794576,0.482170465
0.357500,0.245844013,-0.000012146,-0.000034020,-0.784485122,0.482797259
0.360000,0.247706202,-0.000011739,-0.000032845,-0.785182350,0.483436486
0.362500,0.249613120,-0.000011321,-0.000031642,-0.785885053,0.484087567
0.365000,0.251563843,-0.000010892,-0.000030412,-0.786591998,0.484749908
0.367500,0.253557415,-0.000010453,-0.000029153,-0.787301930,0.485422900
0.370000,0.255592841,-0.000010003,-0.000027869,-0.788013571,0.486105923
0.372500,0.257669092,-0.000009543,-0.000026557,-0.788725622,0.486798345
0.375000,0.259785105,-0.000009073,-0.000025221,-0.789436768,0.487499521
0.377500,0.261939786,-0.000008593,-0.000023859,-0.790145677,0.488208798
0.380000,0.264132007,-0.000008102,-0.000022473,-0.790851004,0.488925513
0.382500,0.266360610,-0.000007602,-0.000021064,-0.791551393,0.489648997
0.385000,0.268624410,-0.000007093,-0.000019631,-0.792245478,0.490378571
0.387500,0.270922191,-0.000006575,-0.000018176,-0.792931888,0.491113553
0.390000,0.273252711,-0.000006047,-0.000016699,-0.793609246,0.491853252
0.392500,0.275614703,-0.000005511,-0.000015202,-0.794276174,0.492596976
0.395000,0.278006873,-0.000004967,-0.000013684,-0.794931292,0.493344029
0.397500,0.280427906,-0.000004414,-0.000012147,-0.795573226,0.494093714
0.400000,0.282876464,-0.000003853,-0.000010591,-0.796200605,0.494845330
0.402500,0.285351190,-0.000003285,-0.000009018,-0.796812065,0.495598177
0.405000,0.287850704,-0.000002710,-0.000007427,-0.797406254,0.496351557
0.407500,0.290373612,-0.000002128,-0.000005820,-0.797981829,0.497104772
0.410000,0.292918501,-0.000001539,-0.000004197,-0.798537464,0.497857127
0.412500,0.295483943,-0.000000944,-0.000002560,-0.799071849,0.498607929
0.415000,0.298068497,-0.000000343,-0.000000910,-0.799583694,0.499356492
0.417500,0.300683414,0.000000267,0.000000763,-0.800097672,0.500112626
0.420000,0.303445519,0.000000911,0.000002532,-0.800853719,0.500973244
0.422500,0.306366309,0.000001595,0.000004405,-0.801875729,0.501947701
0.425000,0.309432998,0.000002317,0.000006373,-0.803138547,0.503025308
0.427500,0.312636271,0.000003075,0.000008432,-0.804624327,0.504198236
0.430000,0.315969427,0.000003870,0.000010577,-0.806320602,0.505460764
0.432500,0.319645412,0.000004765,0.000012938,-0.808397465,0.506911069
0.435000,0.323023539,0.000005573,0.000015120,-0.810328570,0.508247382
0.437500,0.326934689,0.000006540,0.000017639,-0.812793763,0.509857510
0.440000,0.330754269,0.000007484,0.000020106,-0.815270126,0.511445383
0.442500,0.334676675,0.000008462,0.000022644,-0.817912557,0.513099736
0.445000,0.338703420,0.000009477,0.000025254,-0.820721483,0.514820151
0.447500,0.342831106,0.000010529,0.000027933,-0.823691371,0.516603333
0.450000,0.347056205,0.000011618,0.000030680,-0.826816525,0.518445890
0.452500,0.351375170,0.000012745,0.000033493,-0.830091259,0.520344415
0.455000,0.355784431,0.000013910,0.000036370,-0.833509881,0.522295490
0.457500,0.360280378,0.000015112,0.000039308,-0.837066666,0.524295681
0.460000,0.364859362,0.000016353,0.000042307,-0.840755850,0.526341542
0.462500,0.369517684,0.000017633,0.000045363,-0.844571622,0.528429616
0.465000,0.374251598,0.000018950,0.000048476,-0.848508117,0.530556447
0.467500,0.379057305,0.000020307,0.000051642,-0.852559420,0.532718577
0.470000,0.383930957,0.000021702,0.000054860,-0.856719563,0.534912559
0.472500,0.388868658,0.000023136,0.000058128,-0.860982532,0.537134963
0.475000,0.393866462,0.000024609,0.000061444,-0.865342272,0.539382380
0.477500,0.398920378,0.000026120,0.000064804,-0.869792687,0.541651435
0.480000,0.404026372,0.000027669,0.000068208,-0.874327655,0.543938788
0.482500,0.409180371,0.000029257,0.000071653,-0.878941026,0.546241143
0.485000,0.414378262,0.000030882,0.000075136,-0.883626634,0.548555255
0.487500,0.419615901,0.000032545,0.000078656,-0.888378304,0.550877936
0.490000,0.424889110,0.000034245,0.000082210,-0.893189858,0.553206062
0.492500,0.430193687,0.000035981,0.000085796,-0.898055123,0.555536573
0.495000,0.435525401,0.000037753,0.000089411,-0.902967941,0.557866484
0.497500,0.440880006,0.000039560,0.000093053,-0.907922169,0.560192885
0.500000,0.446253234,0.000041401,0.000096719,-0.912911696,0.562512947
